00000A00	Silverd
804B0F00	Goyen's Plate Boots
804C0F00	Bluemont Manor Alley
804D0F00	Satisfying Grilled Pincers
804E0F00	Hidden Space - 0148
804F0F00	Hearty Battered Vegetables
80500F00	Alustin's Letter
80B20100	Kantona Plate Armor
80BC0100	Derrison Leather Armor
80BF0100	Veronde Cloth Armor
80E00100	Austfeld Leather Gloves
80E40100	Tyran Leather Gloves
81080200	Erphy Leather Boots
811A0600	Golden Dragon's Claw
81210C00	Small Bone
81362000	Larc Plate Armor
81380100	Recipe: Boiled Meat
813E0000	Ashen Execution
81420F00	Bounty Hunter's Cloth Armor
81430F00	Beekeeping Cloak
81440F00	Nahab Pendant
81450F00	Sealed Abyss Artifact
81460F00	Wildlife Park Passageway
81470F00	Notable - Saint Reventine
81480F00	Tripod Candle
81490F00	Mapmaker's Note
814A0F00	Fine Blue Bonnet Doll
814B0F00	Goyen's Plate Gloves
814C0F00	Greymane Leather Helm
814D0F00	Filling Grilled Pincers
814E0F00	Hidden Space - 0149
814F0F00	Satisfying Battered Vegetables
81500F00	[QA] Profiling (Demeniss-Varnia 20)
81920100	Lacrunias Leather Helm
81A90300	Tardik Longsword
81B20100	Lukin Leather Armor
81BF0100	Ruschelle Cloth Armor
81E40100	Tiron Cloth Gloves
81EA3750	Jar Lid
81FC0A00	Iron Ore
821A0600	Greathammer of Fire
82362000	Magta Cloth Armor
82420F00	Bounty Hunter's Leather Armor
82430F00	The Singing Catfish Vice Captain's Armor
82440F00	Fated Shadow
82450F00	Sealed Abyss Artifact
82460F00	Adventurer's Cooking Inventory Type D
82470F00	Notable - Nameless
82480F00	Four-Candle Candelabra
82490F00	Black Dye
824A0F00	Simple Brown Bonnet Doll
824B0F00	Desert Shipwreck
824C0F00	Plumed Wells Rebel's Plate Helm
824D0F00	Sighting of the White-Scaled Crocodile
824E0F00	Hidden Space - 0150
824F0F00	Filling Battered Vegetables
82500F00	Abyss Transporter
8263D85F	Blacksteel Roshee Plate Armor
82BF0100	Rosarduin Cloth Armor
82FC0A00	Silver Ore
83080200	Oakten Leather Boots
831A0600	Helms Greathammer
83340300	Delonde Axe
83380100	Recipe: Fruit Tea
833E0000	Sanguine Knell
833E2000	Bendurs Leather Armor
83420F00	Lilian Leather Boots
83430F00	Demeniss Ceremonial Cloak
83440F00	Bear's Gallbladder
83450F00	Sealed Abyss Artifact
83460F00	Abyssal Fusion
83470F00	Replica - Idle Hands
83480F00	Tarnished Four Candle Candelabra
83490F00	Honeybee
834A0F00	Beige Bandana Doll
834B0F00	Adventurer's Refinement Inventory Type D
834C0F00	Elite Turncoat Plate Armor
834D0F00	Hearty Small Grilled Fish
834E0F00	Hidden Space - 0151
834F0F00	Hearty Pickled Vegetables
83500F00	Tenebrum Magnetic Core
83BF0100	Sherwood Cloth Armor
83E10100	Luca Leather Gloves
83FC0A00	Gold Ore
841A0600	Lanford Greathammer
843E2000	Kerburn Leather Armor
84420F00	Binder's Plate Helm
84430F00	Disguise Cloak
84440F00	Empty Book
84450F00	Sealed Abyss Artifact
84460F00	Flower-Decorated Cactus Pot
84470F00	Replica - Prelude to War
84480F00	Request to Punish Outlaws in Muiquun
84490F00	Hornet
844A0F00	Brown Dress Doll
844B0F00	Oasis Headstone
844C0F00	Elite Turncoat Plate Armor
844D0F00	Satisfying Small Grilled Fish
844E0F00	Hidden Space - 0152
844F0F00	Satisfying Pickled Vegetables
84500F00	Kuku Gear Special Blueprint
848C2000	Blinding Arrow's Leather Boots
84B20100	Lachian Plate Armor
84BF0100	Eyratt Cloth Armor
84FC0A00	Copper Ore
85080200	Seras Leather Boots
851A0600	Bonepit Greathammer
853E2000	Bennault Leather Armor
85420F00	Bounty Hunter's Plate Armor
85430F00	St. Halssius Priest's Cloak
85440F00	Sapphire-Set Golden Dagger
85450F00	Timeworn Graves
85460F00	Purple Cactus Pot
85470F00	Notable - Those Who Celebrate the Harvest Festival
85480F00	Damiane's Basic Hair Ticket
85490F00	Bumblebee
854A0F00	Doll Wearing Brown Bonnet
854B0F00	Adventurer's Refinement Inventory Type E
854C0F00	Wells Rebel's Plate Gloves
854D0F00	Filling Small Grilled Fish
854E0F00	Hidden Space - 0153
854F0F00	Filling Pickled Vegetables
85500F00	Bundle of Bullets
85510F00	Archive Record: Ch. 1
85790B00	Cooking Oil
858C2000	Blinding Arrow's Leather Boots
85B20100	Lacata Plate Armor
85B90100	Benne Leather Armor
85BF0100	Gruun Cloth Armor
85E00100	Fiori Leather Gloves
85E10100	Tikkal Leather Gloves
86080200	Cateine Leather Boots
860B0200	Marrada Leather Boots
863E2000	Gallabay Leather Armor
86420F00	Sleep Arrow
86430F00	Hernandian Banquet Cloak
86440F00	Yellow Garden Spider
86450F00	Investigative Log: Harvest of Greed
86460F00	A.T.A.G. Plating Mk II
86470F00	Notable - Those Headed to the Chapel
86480F00	Green Spice Bowl
86490F00	Magic Bullet
864A0F00	Bismuth Cannon
864B0F00	Pit of Death
864C0F00	Mysterious Giant Tower
864D0F00	Hearty Salt-Roasted Fish
864E0F00	Hidden Space - 0154
864F0F00	Hearty Salt-Roasted Bird Meat
86500F00	Bundle of Cannonballs
86510F00	Archive Record: Ch. 2
868C2000	Blinding Arrow's Leather Gloves
86B20100	Eccanta Plate Armor
86BC0100	Berblin Leather Armor
86BF0100	Auron Cloth Armor
86E00100	Janiklo Leather Gloves
86E10100	Markna Leather Gloves
870B0200	Endoron Leather Boots
873E2000	Brometi Leather Armor
87420F00	Recipe: Meat Skewers
87430F00	Corn Seed
87440F00	Golden Silk Spider
87450F00	Bastier Armor
87460F00	A.T.A.G. Thrusterpack Mk II
87470F00	Acclaimed - Silence of Dawn
87480F00	Blue Spice Bowl
87490F00	Luther's Leather Boots
874A0F00	Wells Rider Plate Armor
874B0F00	Oasis Hearth
874C0F00	Dragon Claw Horn
874D0F00	Earthrending Strike
874E0F00	Hidden Space - 0155
874F0F00	Satisfying Salt-Roasted Bird Meat
87500F00	Steel Horseshoes
87510F00	Archive Record: Ch. 3
878C2000	Petra Leather Gloves
87920100	Rueconec Leather Helm
87B20100	Eclaon Plate Armor
88080200	Loutte Leather Boots
880D0300	Melted Ambition
883E2000	Galustin Leather Armor
88420F00	Recipe: Braised Meat
88430F00	Tommaso Guard's Dagger-Tipped Spear
88440F00	A Wife's Letter
88450F00	Eclipsed Solas Plate Gloves
88460F00	A.T.A.G. Boots Mk II
88470F00	Masterpiece - Silence of Dawn
88480F00	Ashen Spice Bowl
88490F00	Andrew's Leather Boots
884A0F00	Serval Plate Boots
884B0F00	Sand Dunes
884C0F00	A.T.A.G. Emergency Power Device
884D0F00	Sighting of the White Elk
884E0F00	Hidden Space - 0156
884F0F00	Filling Salt-Roasted Bird Meat
88500F00	Silvermoon Horseshoes
88510F00	Archive Record: Ch. 4
8864D603	Wells Military Champron
889F5C72	Demenissian Soldiers' Brimstone Gas Mask
88B20100	Egliss Plate Armor
88B90100	Somier Leather Armor
88BC0100	Reed Devil Underling's Red Armor
88BF0100	Salash Cloth Armor
88FB0300	Aeserion Warhammer
89070200	Seiger Leather Boots
89239327	Blacksteel Descao Plate Helm
89340300	Leofric Double-Headed Axe
89362000	Rakkli Plate Armor
893E2000	Baltimier Leather Armor
89420F00	Brimstone Gas Mask
89430F00	Abacus
89440F00	Recipe: Meatball Soup
89450F00	Scarecrow Cloak Blueprint
89460F00	Surreal Necklace
89470F00	Study - Delesyia
89480F00	Glazed Mortar
89490F00	Burrowing Salamander
894A0F00	Wells Military Barding
894B0F00	Ashen Rift
894C0F00	Stone Lantern Keeper's Patrol
894D0F00	Tax Notice
894E0F00	Outfit Supply Contract - Calphade
894F0F00	Hearty Clear Soup
89500F00	Small Kuku A.T.A.G. Design
89510F00	Archive Record: Ch. 5
898A0100	Rekhia Plate Helm
89920100	Agatha Leather Helm
89960100	Raveed Cloth Cap
89B20100	Ekklemen Plate Armor
89BC0100	Reed Devil Underling's Yellow Armor
89BF0100	Borman Cloth Armor
89C30000	Bundle of Arrows
89E00100	Barre Leather Gloves
8A080200	Bourveten Leather Boots
8A362000	Marc Plate Armor
8A3E2000	Hellad Leather Armor
8A420F00	Shoddy Rishi's Boots
8A430F00	Lauques Cloth Cloak
8A440F00	Crude Stirrups
8A450F00	Executioner of Darkness Plate Helm
8A460F00	Servano Saddle
8A470F00	Notable - Glory of Days Past
8A480F00	Glazed Bowl
8A490F00	Salamander
8A4A0F00	Deceiver's Fedora
8A4B0F00	Witch's Token
8A4C0F00	Noble's Hat
8A4D0F00	Gear Blueprint: Dark Crescent
8A4E0F00	Outfit Supply Contract - Demeniss
8A4F0F00	Satisfying Clear Soup
8A500F00	Azerian's Whereabouts
8A510F00	Archive Record: Final Chapter
8A723724	Heavy Bucket
8A8A0100	Bolton Plate Helm
8A960100	Duvidet Hoops
8AB20100	Ostent Plate Armor
8AB90100	Traley Chain Mail
8ABC0100	Reed Devil Underling's Armor
8ABF0100	Berghill Cloth Armor
8AE00100	Berkhia Leather Gloves
8AE10100	Lukas' Leather Gloves
8AFC0A00	Bismuth Ore
8B080200	Lankel Leather Boots
8B340300	Black Iron Axe
8B362000	Ticon Plate Armor
8B3E2000	Ashclaw Leather Armor
8B420F00	Checkered White Butterfly
8B430F00	Shadowleaf Cloak
8B440F00	Wells Military Stirrups
8B450F00	Guidance of Dark Pursuit
8B460F00	Varantin Necklace
8B470F00	Study - Eghod the Great
8B480F00	Stacked Glazed Bowls
8B490F00	Axolotl
8B4A0F00	Elite Vanguard
8B4B0F00	Shining Shai Pendant
8B4C0F00	Ruler of the Oasis
8B4D0F00	Gear Blueprint: Earthrending Strike
8B4E0F00	Outfit Supply Contract - Tariv
8B4F0F00	Filling Clear Soup
8B500F00	Bastier's Co-conspirators
8B8A0100	Cassius Morten's Plate Helm
8B8C2000	Bandit Leather Gloves
8BB20100	Oakley Plate Armor
8BB90100	Antumbra Cloth Armor
8BBF0100	Hassal Cloth Armor
8BE00100	Goldheart Chain Gloves
8C080200	Gannech Leather Boots
8C0B0200	Scoppa Leather Boots
8C362000	Takhan Plate Armor
8C3C0000	Rune-Engraved Rock
8C3E2000	Arteyan Leather Armor
8C420F00	Recipe: Clear Soup
8C430F00	Hubus Cloth Cap
8C440F00	Decorative Dragon Head Stirrups
8C450F00	Crow Brothers Warhammer
8C460F00	Tarivian Necklace
8C470F00	Notable - Duel Between Rivals
8C480F00	Wooden Beaker
8C490F00	Goanna
8C4A0F00	Bamboo Spear
8C4B0F00	Shabby Wooden Key
8C4C0F00	Private Soldier's Plate Armor
8C4D0F00	Satisfying Salt-Roasted Fish
8C4E0F00	Outfit Supply Contract - Demeniss Wildlife Park
8C4F0F00	Hearty Vegetable Porridge
8C500F00	Memory of Byron Manor
8C8C2000	Parasis Plate Helm
8CA0626C	Dundree Plate Armor
8CBF0100	Meravan Cloth Armor
8CE00100	Kordaav Leather Gloves
8D070200	Rodderham Leather Boots
8D080200	Kervel Leather Boots
8D0D0300	Volono Sword
8D362000	Kark Chain Mail
8D3E2000	Dartus Leather Armor
8D420F00	Bounty Hunter's Cloth Armor
8D430F00	Deshret Cloth Armor
8D440F00	Gold-Decorated Stirrups
8D450F00	Kuku Insect Gatherer's Pack
8D460F00	Crossroads Necklace
8D470F00	Acclaimed - Golden Lands
8D480F00	Oak Beaker
8D490F00	Iguana
8D4A0F00	Silver Bullet
8D4B0F00	Unstable Rock
8D4C0F00	Randelle's Note
8D4D0F00	Filling Salt-Roasted Fish
8D4E0F00	Outfit Supply Contract - Delesyia
8D4F0F00	Satisfying Vegetable Porridge
8D500F00	Seal of Greed - Saltroad Trading Post
8D820300	Bekker Dagger
8D8C2000	Ziggurat Leather Gloves
8DBF0100	Chizhar Cloth Armor
8E080200	Walder Leather Boots
8E0B0200	Whitley Cloth Boots
8E0D0300	Peltree Sword
8E230000	Hernandian Honor Guard Armor
8E3E2000	Calto Leather Armor
8E420F00	Bounty Hunter's Leather Armor
8E430F00	Skull Knight Follower's Plate Boots
8E440F00	Fine Leather Stirrups
8E450F00	Black Bears' Cloth Cloak
8E460F00	Poison Arrow Blueprint
8E470F00	Notable - Duel - Echoes of the Battlefield
8E480F00	Two-Handled Bronze Cup
8E490F00	Heloderma Lizard
8E4A0F00	Wells Elite Plate Helm
8E4B0F00	Mushroom Rock
8E4C0F00	Glenbright Manor
8E4D0F00	Hearty Grilled Vegetables
8E4E0F00	Outfit Supply Contract - Pailune
8E4F0F00	Filling Vegetable Porridge
8E500F00	Fine Pickaxe Blueprint
8E810B00	Acidic Spider Venom
8E8C2000	Deshret Leather Boots
8EB20100	Dunion Plate Armor
8EBB0100	Davis Leather Armor
8EBF0100	Dahkavan Cloth Armor
8F070200	Leontyne Leather Boots
8F080200	Donaff Leather Boots
8F230000	Tariv Cloth Attire
8F3E2000	Gersens Leather Armor
8F420F00	Orange-Barred Sulphur Butterfly
8F430F00	Scarecrow Cloak
8F440F00	Exclaire Stirrups
8F450F00	Sealed Abyss Artifact
8F460F00	Helfryn Necklace
8F470F00	Notable - Execution
8F480F00	Bright Red Dye
8F490F00	Arnold's Leather Boots
8F4A0F00	Bleed Officer's Cloth Cloak
8F4B0F00	Garden of the Gods
8F4C0F00	Gear Blueprint: Judgment of the Soul
8F4D0F00	Sighting of the Red River Hog
8F4E0F00	Outfit Supply Contract - Tommaso
8F4F0F00	Hearty Fruit Punch
8F500F00	Olvald's Logging Axe Blueprint
8F836E62	Blacksteel Ratti Plate Gloves
8F960100	Scobby Cloth Headband
8FB20100	Manios Plate Armor
8FBF0100	Ziahl Cloth Armor
8FCCF069	Rhogo Plate Armor
8FE10100	Dark Ringleader's Leather Gloves
90330000	Mace of the Fleeting
903E2000	Akran Cloth Armor
90420F00	Hwando
90430F00	The Features of the Visione
90440F00	Ironstone Horseshoes
90450F00	Sealed Abyss Artifact
90460F00	Crimson Warden's Necklace
90470F00	Notable - Fields of Color
90480F00	Rich Red Dye
90490F00	Frilled-neck Lizard
904A0F00	Kuku Spear Special Blueprint
904B0F00	Turquoise Rock Pools
904C0F00	Engineer's Research Log
904D0F00	Steelbane I
904E0F00	Outfit Supply Contract - Varnia
904F0F00	Satisfying Fruit Punch
90500F00	Bernor's Pickaxe Blueprint
908A0100	Icewing Plate Helm
908C2000	Chemists' Mask Leather Helm
90A90300	Savage Longsword
90BF0100	Amundule Cloth Armor
90E00100	Cacoreum Leather Gloves
90E10100	Salatos Leather Gloves
91070200	Bollin Leather Boots
91330000	Marni Devotee's Mace
913A0100	Recipe: Honey Tea
913E2000	Fontine Leather Armor
91420F00	Fine Timber
91430F00	Scholastone Cloak
91440F00	Bow Knot Horseshoes
91450F00	Sealed Abyss Artifact
91460F00	Jackals' Leather Helm
91470F00	Acclaimed - Poverty Amidst Plenty
91480F00	Red Dye
91490F00	Joan's Leather Boots
914A0F00	Kuku Pack Special Blueprint
914B0F00	Adventurer's Refinement Inventory Type F
914C0F00	Pot Artisans
914D0F00	Steelbane II
914E0F00	Equipment Supply Contract - Hernand
914F0F00	Filling Fruit Punch
91500F00	Windrose Farm Note
916E0B00	Horse Tonic
918A0100	Ator's Will Helm
918C2000	Ziggurat Cloth Helm
91920100	Dimfeld Leather Helm
91B20100	Scorchflame Plate Armor
91BF0100	Sarendion Cloth Armor
91D15E15	Lanauk Plate Armor
92080200	Herdel Leather Boots
92330000	Mace of Resolve
923E2000	Flordanus Leather Armor
92410600	Volcanic Blaster
92420F00	Derictus Spear
92430F00	Recipe: Meat and Fish Skewers
92440F00	Steelheart Horseshoes
92450F00	Sealed Abyss Artifact
92460F00	TestNeck 1 1
92470F00	Study - The Cat and the Bird
92480F00	Dark Red Dye
92490F00	Wandering Leather Helm
924A0F00	Kuku Pack
924B0F00	Wells Rebel's Silver Plate Helm
924C0F00	Gear Blueprint: Colossal Might
924D0F00	Steelbane III
924E0F00	Equipment Supply Contract - Kharonso
924F0F00	Hearty Vegetable Rice Cake
92500F00	Engraved Stone
928C2000	Chemists' Iron Mask Leather Helm
92A90300	Balton Longsword
92BF0100	Hysilda Cloth Armor
92E10100	Ellisco Leather Bracers
92E40100	Setri Cloth Gloves
93070200	Helfryn Leather Boots
933E2000	Breitzle Leather Armor
93420F00	Sielos Longsword
93430F00	Sealed Abyss Artifact
93440F00	Shai's Pendant
93450F00	Sealed Abyss Artifact
93460F00	TestNeck 1 2
93470F00	Study - Blooming Rabbit
93480F00	Deep Red Dye
93490F00	Eternal Darkness
934A0F00	Linda's Poster
934B0F00	Journal at the Cabin
934C0F00	Gear Blueprint: Infinite Arrows
934D0F00	Hexebane I
934E0F00	Equipment Supply Contract - Calphade
934F0F00	Satisfying Vegetable Rice Cake
93500F00	Engraved Stone
936E0B00	Horse Stimulant
938A0100	Ferman Plate Helm
938C2000	Ziggurat Leather Gloves
93960100	Fiore Cloth Cap
93A90300	Dewhaven Longsword
93BE0100	Ancara Cloth Armor
93BF0100	Yorkey Cloth Armor
93BF8C43	Persein Leather Gloves
93E00100	Claire Leather Gloves
93E10100	Elashe Leather Gloves
93E40100	Serbello Cloth Gloves
943E2000	Tyrannus Leather Armor
94410600	Copper Knuckledrill
94420F00	Adventurer's Cooking Inventory Type A
94430F00	Deer Hat
94440F00	Glass
94450F00	Sealed Abyss Artifact
94460F00	TestNeck 2 1
94470F00	Study - The Rat's Roll
94480F00	Bright Violet Dye
94490F00	Greymanes' Leather Armor
944A0F00	Small Kuku A.T.A.G.
944B0F00	Gear Blueprint: Spirit's Judgment
944C0F00	Gear Blueprint: Gourmet
944D0F00	Hexebane II
944E0F00	Equipment Supply Contract - Demeniss
944F0F00	Filling Vegetable Rice Cake
94500F00	Colossal Might
948A0100	Keredeg Plate Helm
948C2000	Rueconec Leather Boots
94920100	Daveed Leather Helm
94960100	Ataram Cloth Cap
94A90300	Thalwynd Longsword
94B20100	Aeron Plate Armor
94BE0100	Esbeth Cloth Armor
94BF0100	Dollette Cloth Armor
94CB080A	Killian Plate Armor
95070200	Eustice Leather Boots
95080200	Ator's Will Leather Boots
953E0C00	Alustin's Letter
953E2000	Formosa Leather Armor
95420F00	Haiden's Lesser Elixir
95430F00	Raccoon Cloth Hat
95440F00	Carpet
95460F00	TestNeck 2 2
95470F00	Acclaimed - Bighorn Sheep
95480F00	Rich Violet Dye
95490F00	Satisfying Grilled Bird Meat
954A0F00	Blue Fang Necklace
954B0F00	Frostward II
954C0F00	Gear Blueprint: Efficiency
954D0F00	Hexebane III
954E0F00	Equipment Supply Contract - Tariv
954F0F00	Hearty Chewy Rice Cakes
95500F00	Merchant's Note
95790B00	Tough Meat
958A0100	Ferenna Plate Helm
958C2000	Varnia Cloth Armor
95B20100	Golden Greed Plate Armor
95BE0100	Muchia Cloth Armor
95BF0100	Verette Cloth Armor
96080200	Quent Leather Boots
963E2000	Grolla Leather Armor
96420F00	Shield of Conviction
96430F00	Ironwilled Guardian's Leather Cloak
96440F00	Calligraphic Paintings
96450F00	[QA] Repeated movement within Hernand (Speed 15)
96460F00	TestNeck 3 1
96470F00	Masterpiece - Bighorn Sheep
96480F00	Violet Dye
96490F00	Duncan's Leather Boots
964A0F00	Tiorant Cloth Armor
964B0F00	Gear Blueprint: Crow's Pursuit
964C0F00	Donny's Note
964D0F00	Bloodbane I
964E0F00	Equipment Supply Contract - Stronghelm Forge
964F0F00	Satisfying Chewy Rice Cakes
96500F00	Duskway Camp Note
968A0100	Grace Plate Helm
968C2000	Varnian Chain Boots
96B20100	Sliver Plate Armor
96BE0100	Wyvernflames Cloth Armor
96BF0100	Haillen Cloth Armor
96DC0100	Beastman Chain Gloves
96E10100	Kasria Leather Gloves
97080200	Grey Rhegis Leather Boots
97340300	Timberham Axe
973E2000	Glaville Leather Armor
97420F00	Recipe: Battered Meat
97430F00	Boar Cloak
97440F00	Bounty Notice - Billy
97450F00	A.T.A.G. Boots Mk III
97460F00	TestNeck 3 2
97470F00	Acclaimed - The Lamb
97480F00	Dark Violet Dye
97490F00	Letter of Gratitude from Calphade
974A0F00	Tiorant Cloth Cloak
974B0F00	Old Quarry
974C0F00	Flower Shop Customer's Note
974D0F00	Bloodbane II
974E0F00	Equipment Supply Contract - Delesyia
974F0F00	Filling Chewy Rice Cakes
97500F00	Note Found at the Fence
978A0100	Flynn Plate Helm
978C2000	Varnian Leather Gloves
97A90300	Iris Longsword
97B20100	Sahazhad Plate Armor
97BE0100	Duizeh Cloth Armor
97BF0100	Khalbdan Cloth Armor
97E00100	Hark Leather Gloves
97E40100	Ashtu Cloth Gloves
98080000	Stub Arrow
983A0000	Aeserion Halberd
983E2000	Teblecc Leather Armor
98410600	Furious Waves Gauntlet
98420F00	The Claw
98430F00	White Horn Leather Helm
98440F00	Silk
98450F00	Light's Guidance
98460F00	TestNeck 4 1
98470F00	Acclaimed - Gatekeeper of Death
98480F00	Deep Violet Dye
98490F00	Ronald's Leather Boots
984A0F00	Kuku Enhanced Disruptor
984B0F00	Signs of Misfortune
984C0F00	Gear Blueprint: Rising Torrent
984D0F00	Bloodbane III
984E0F00	Equipment Supply Contract - Pailune
984F0F00	Hearty Harvest Roll
98500F00	Demeniss Cathedral Ring
988A0100	Crudil Plate Helm
988C2000	Varnia Cloth Cap
98B20100	Jerrinmarne Plate Armor
98BE0100	Izumit Cloth Armor
98E10100	Renshaku Leather Gloves
98E40100	Ratisan Cloth Gloves
993E2000	Goldur Leather Armor
99410600	Iron Fists Gauntlet
99420F00	Sticky Flower Bomb
99430F00	Grave Robber's Leather Armor
99440F00	Bounty Notice - Gunder
99450F00	Plague Remedy
99460F00	TestNeck 4 2
99470F00	Masterpiece - Gatekeeper of Death
99480F00	Bright Purple Dye
99490F00	Brant's Leather Gloves
994A0F00	Kuku Watcher Pack
994B0F00	Beginning of the Hunt
994C0F00	Gear Blueprint: Pillar of Wind
994D0F00	Primalbane I
994E0F00	Equipment Supply Contract - Skoghorn
994F0F00	Satisfying Harvest Roll
99500F00	Demeniss Cathedral Necklace
998C2000	Porcell Cloth Gloves
99920100	Lutinas Leather Helm
99960100	Gaurra Cloth Cap
99B20100	Icewing Plate Armor
99BB0100	Leather Armor of the Fallen Kingdom
99BE0100	Mugleah Cloth Armor
99E00100	Weiston Leather Gloves
99E10100	Reshesh Leather Gloves
99E40100	Duroin Cloth Gloves
9A080200	Tyran Leather Boots
9A3E2000	Deimon Leather Armor
9A420F00	Rattan Shield
9A430F00	Grave Robber's Leather Armor
9A440F00	Richly Flavored Sugar
9A450F00	Firefly Lantern
9A460F00	TestNeck 5 1
9A470F00	Acclaimed - Dawnbreak
9A480F00	Rich Purple Dye
9A490F00	Red-spotted Purple Butterfly
9A4A0F00	Axe of the Apocalypse
9A4B0F00	Day of the Longleaf Tribe
9A4C0F00	Gear Blueprint: Ancient Reckoning
9A4D0F00	Primalbane II
9A4E0F00	Equipment Supply Contract - Odeck
9A4F0F00	Filling Harvest Roll
9A500F00	Condemner's Plate Cloak
9A8A0100	Berin Plate Helm
9A8C2000	Lepra Leather Boots
9A960100	Jermill Cloth Headband
9AA90300	Rhett's Longsword
9B080200	Tyrune Cloth Boots
9B340300	Crow Brothers Axe
9B3E2000	Bolzers Leather Armor
9B410600	Muskan's Upper Body Clone
9B420F00	Bounty Hunter's Cloth Cap
9B430F00	Grave Robber's Leather Armor
9B440F00	Honey
9B450F00	Reventine Monastery Exclusive Document
9B460F00	TestNeck 5 2
9B470F00	Masterpiece - Dawnbreak
9B480F00	Purple Dye
9B490F00	Vernon's Leather Gloves
9B4A0F00	Golden Star's Component
9B4B0F00	Hidden Treasure Map Piece 12
9B4C0F00	Gear Blueprint: The Showstopper
9B4D0F00	Primalbane III
9B4E0F00	Equipment Supply Contract - Varnia
9B4F0F00	Hearty Pan-Fried Marinated Meat
9B500F00	Bandit Cloth Cloak
9B650000	Coral Mushroom Tea
9BBF0100	Schillerbin Cloth Armor
9BE00100	Talisin Leather Gloves
9BE10100	Ravellu Leather Gloves
9BE40100	Ludynn Cloth Gloves
9C070200	St. Halssius Priest's Leather Footwear
9C080200	Tiron Leather Boots
9C3D0C00	St. Halssius Visitor Pass
9C3E2000	Gronerd Leather Armor
9C410600	Muskan's Lower Body Clone
9C420F00	Bounty Hunter's Cloth Cap
9C430F00	Grave Robber's Leather Armor
9C440F00	Bounty Notice - Henrik
9C450F00	Recipe: Extravagant Meal
9C460F00	TestNeck 5 3
9C470F00	Acclaimed - A Dairy Cow
9C480F00	Dark Purple Dye
9C490F00	Mine Spider Cannonball
9C4A0F00	Blessing of the Immortal
9C4B0F00	Unidentified Abyss Gear
9C4C0F00	Note at Point of Contact
9C4D0F00	Malicebane I
9C4E0F00	Equipment Supply Contract - Tommaso
9C4F0F00	Satisfying Pan-Fried Marinated Meat
9C500F00	Fiona's Note
9C750B00	Coral Mushroom
9C8C2000	Bessett Plate Gloves
9CBF0100	Neblin Cloth Armor
9CE00100	Melvin Leather Gloves
9CE10100	Remebrou Leather Gloves
9D310000	Divine Echoes Bow
9D340300	Parashu Axe
9D3E2000	Deboros Leather Armor
9D420F00	Bounty Hunter's Cloth Armor
9D430F00	Jackals' Leather Helm
9D440F00	Bounty Notice - Aksel
9D450F00	Companionship II
9D470F00	Masterpiece - A Dairy Cow
9D480F00	Deep Purple Dye
9D490F00	Recipe: Mild Herbal Tea
9D4A0F00	Missing Cows
9D4B0F00	A Painter's Regret
9D4C0F00	Gear Blueprint: Blessing of the Forest
9D4D0F00	Malicebane II
9D4E0F00	Medium Black Bears Banner Pike
9D4F0F00	Filling Pan-Fried Marinated Meat
9D500F00	Chief Trainer's Journal
9D8C2000	Bessett Leather Boots
9D960100	Torben Cloth Cap
9DA90300	Vessel of Dark Pursuit
9DB10100	Frostcursed Plate Armor
9DE10100	Rainier Leather Gloves
9DE40100	Derrison Cloth Gloves
9E070200	Tobias Leather Boots
9E310000	Noble Man's Bow
9E3E2000	Nordbeid Leather Armor
9E420F00	Bounty Hunter's Cloth Boots
9E430F00	Gladiator's Cloth Armor
9E440F00	Bounty Notice - Frank
9E450F00	Mystical Pine Mushroom
9E460F00	Hernandian Signet
9E470F00	Acclaimed - Man's Best Friend
9E480F00	Bright Blue Dye
9E490F00	Shadowleaf Leather Armor
9E4A0F00	Plunderer's Gold Chest
9E4B0F00	Wings of Steel
9E4C0F00	Gear Blueprint: Solidarity
9E4D0F00	Malicebane III
9E4E0F00	Medium Bleed Bandits Banner Pike
9E4F0F00	Hearty Fish Skewers
9E500F00	Kinetic Knight
9E8C2000	Northern Fighter's Leather Gloves
9E920100	Lanweiter Leather Helm
9EA90300	Righteous Verdict
9EBF0100	Skyblazer Cloth Armor
9ED00300	Incomplete Masterpiece
9EE00100	Trion Leather Gloves
9EE10100	Lave Leather Gloves
9F070200	Arghai Leather Boots
9F080200	Tiruna Leather Boots
9F340300	Ring of the Earth
9F3E2000	Cradbahn Leather Armor
9F420F00	Bounty Hunter's Leather Armor
9F430F00	Gladiator's Cloth Armor
9F440F00	Tobacco
9F450F00	Thornbriar Dungeon Key
9F460F00	Hernandian Crown
9F470F00	Masterpiece - Man's Best Friend
9F480F00	Rich Blue Dye
9F490F00	Renee's Poster
9F4A0F00	Flame Knight's Plate Helm
9F4B0F00	Snowy Plains Hearth
9F4C0F00	Researcher's Note
9F4D0F00	Beastbane I
9F4E0F00	Medium Caliburn's Banner Pike
9F4F0F00	Satisfying Fish Skewers
9F500F00	Large Grain Bowl
9F650000	Pine Mushroom Tea
9F8C2000	Blinding Arrow's Mask
9FA90300	Absolute Justice Greatsword
9FD00300	Tardik Greataxe
9FE10100	Mache Leather Gloves
9FE40100	Gadereich Cloth Gloves
A0070200	Nevin Leather Boots
A0080200	Darman Leather Boots
A00B0200	Kerdmann Cloth Boots
A0340300	Silverwolf Axe
A03E2000	Darbaran Leather Armor
A0420F00	Bounty Hunter's Leather Armor
